,Institue
901,"Govt Medical College Shahdol, GRAM CHAMP A KUDRI ROAD NEAR NEW BUS STAND SHAHD OL MP,
Madhya Pradesh, 484001"
902,"Govt Medical College Shahdol,GRAM CHAMPA KUDRI ROAD NEAR NEW BUS STAND SHAHDOL MP"
903,"Govt Medical College Shahdol,GRAM CHAMPA KUDRI ROAD NEAR NEW BUS STAND SHAHDOL MP, Madhya Pradesh, 484001"
904,"Govt Medical College Vikaraba d
,ANANT HAGIRI HILLS VIKARA BAD VIKARA BAD DISTRIC T TELANG ANA 501101,
Telangan a, 501101"
905,"Govt Medical College Vikarabad  , ANANTHAGIRI HILLS VIKARABAD VIKARABAD DISTRICT TELANGANA
501101, Telangana,
501101"
906,"Govt Medical College Vikarabad ,ANANTHAGIRI HILLS VIKARABAD VIKARABAD DISTRICT TELANGANA 501101, Telangana, 501101"
907,"Govt Medical College, Churu , SHEKHAWAT COLONY, CIVIL LINES ROAD,CHURU,
Rajasthan, 331001"
908,"Govt Medical College, Churu , Shekhawat Colony, Civil Lines Road,Churu, Rajasthan, 331001"
909,"Govt Medical College, Churu,SHEKHAWAT COLONY, CIVIL LINES ROAD,CHURU, Rajasthan, 331001"
910,"Govt Medical College, Churu,Sh ekhawat Colony, Civil Lines Road,Ch uru, Rajastha n, 331001"
911,"Govt Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu, Rajasthan, 331001"
912,"Govt Medical College, Dungarp ur,VILLA GE- THANA DUNGA RPUR,
Rajastha n, 314001"
913,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001"
914,"Govt Medical College, Dungarpur,VILLAGE- THANA DUNGARPUR, Rajasthan, 314001"
915,"Govt Medical College, Ernakula m,HMT COLONY P O, KALAMA SSERY, ERNAKU LAM DISTRIC T,
Kerala, 683503"
916,"Govt Medical College, Ernakulam , HMT COLONY  P O, KALAMASSERY, ERNAKULAM
DISTRICT, Kerala, 683503"
917,"Govt Medical College, Ernakulam,HMT COLONY  P O, KALAMASSERY, ERNAKULAM DISTRICT, Kerala, 683503"
918,"Govt Medical College, Idukki , Principal, Govt Medical College Idukki, Idukki colony P.O.,Idukki District, Kerala, 685602"
919,"Govt Medical College, Idukki,Pri ncipal, Govt Medical College Idukki, Idukki colony P.O.,Iduk ki District, Kerala, 685602"
920,"Govt Medical College, Idukki,Principal, Govt Medical College Idukki, Idukki colony P.O.,Idukki District, Kerala, 685602"
921,"Govt Medical College, Palakkad
,NH-544, EAST YAKKAR A, KUNNAT HURME DU POST, PALAKK AD- 678013,
Kerala, 678013"
922,"Govt Medical College, Palakkad , NH-544, EAST YAKKARA, KUNNATHURMEDU POST, PALAKKAD-
678013, Kerala,
678013"
923,"Govt Medical College, Palakkad,NH-544, EAST YAKKARA, KUNNATHURMEDU POST, PALAKKAD-678013, Kerala, 678013"
924,"Govt Medical college Shivpuri , Near Katha Mill, Gwalior Bypass Highway, Shivpuri, Madhya Pradesh, 473638"
925,"Govt Medical college Shivpuri, Near Katha Mill, Gwalior Bypass Highway, Shivpuri, Madhya Pradesh, 473638"
926,"Govt Medical college Shivpuri,Near Katha Mill, Gwalior Bypass Highway, Shivpuri, Madhya Pradesh, 473638"
927,"Govt dental college Pudukkot tai,GOVT DENTAL COLLEG E MULLUR PUDUKK OTTAI,
Tamil Nadu, 622003"
928,"Govt dental college Pudukkottai , GOVT DENTAL COLLEGE MULLUR PUDUKKOTTAI,
Tamil Nadu, 622003"
929,"Govt dental college Pudukkottai,GOVT DENTAL COLLEGE MULLUR PUDUKKOTTAI, Tamil Nadu, 622003"
930,"Govt institute of Medcial Sciences
, GREATE R NOIDA,G OVERN MENT INSTITU TE OF MEDICA L SCIENC ES GREATE R NOIDA GAUTA M BUDH NAGAR UTTAR PRADES
H, Uttar Pradesh, 201310"
931,"Govt institute of Medcial Sciences, GREATER NOIDA , GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR
PRADESH, Uttar Pradesh, 201310"
932,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR
PRADESH, Uttar Pradesh, 201310"
933,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH,
Uttar Pradesh, 201310"
934,"Govt. Medical College ESI and Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015"
935,"Govt. Medical College Jayasha nkar Bhupalpa lly,Manzo or Nagar Road, Besides thousand quarters, Jayasha nkar, Bhupalpa lly, Telangan a, 506169"
936,"Govt. Medical College Jayashankar Bhupalpally , Manzoor Nagar Road, Besides  thousand quarters, Jayashankar, Bhupalpally, Telangana, 506169"
937,"Govt. Medical College Jayashankar Bhupalpally,Manzoor Nagar Road, Besides thousand quarters, Jayashankar, Bhupalpally, Telangana, 506169"
938,"Govt. Medical College Karur , SANAPIRATTI VILLAGE NORTH GANDHIGRAMAM KARUR TAMILNADU,
Tamil Nadu, 639004"
939,"Govt. Medical College Karur,SA NAPIRA TTI VILLAGE NORTH GANDHI GRAMA M KARUR TAMILN ADU,
Tamil Nadu, 639004"
940,"Govt. Medical College Karur,SANAPIRATTI VILLAGE NORTH GANDHIGRAMAM KARUR TAMILNADU, Tamil Nadu, 639004"
941,"Govt. Medical College Rajanna Sircilla , GOVERNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA,
Telangana, 505301"
942,"Govt. Medical College Rajanna Sircilla,G OVERN MENT MEDICA L COLLEG E NEAR KASTUR BA GIRLS SCHOOL PEDDUR SIRCILL A DISTRIC T RAJANN A SIRCILL A,
Telangan a, 505301"
943,"Govt. Medical College Rajanna Sircilla,GOVERNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA,
Telangana, 505301"
944,"Govt. Medical College and  Hospital, Chandrapur , GOVT. MEDICAL COLLEGE CHANDRAPUR, RAM NAGAR, CHANDRAPUR,
Maharashtra, 442401"
945,"Govt. Medical College and  Hospital, Chandrapur,GOVT. MEDICAL COLLEGE CHANDRAPUR, RAM NAGAR, CHANDRAPUR, Maharashtra, 442401"
946,"Govt. Medical College and Hospital, Chandra pur,GOV T. MEDICA L COLLEG E CHAND RAPUR, RAM NAGAR, CHAND RAPUR,
Maharas htra, 442401"
947,"Govt. Medical College, Jammu , GOVERNMENT MEDICAL COLLEGE, BAKSHI NAGAR, JAMMU 180001,
Jammu And Kashmir, 180001"
948,"Govt. Medical College, Jammu, GOVER NMENT MEDICA L COLLEG E, BAKSHI NAGAR, JAMMU 180001,
Jammu And Kashmir, 180001"
949,"Govt. Medical College, Jammu,GOVERNMENT MEDICAL COLLEGE, BAKSHI NAGAR, JAMMU 180001, Jammu And Kashmir, 180001"
950,"Govt. Medical College, Kannauj , Tirwa Road, Kannauj, Uttar Pradesh, 209732"
951,"Govt. Medical College, Kannauj, Tirwa Road, Kannauj, Uttar Pradesh, 209732"
952,"Govt. Medical College, Kannauj,Tirwa Road, Kannauj, Uttar Pradesh, 209732"
953,"Govt. Medical College, Khandwa
,Luv- Kush Nagar,M undi Road,Kh andwa (M.P.),
Madhya Pradesh, 450001"
954,"Govt. Medical College, Khandwa , Luv-Kush Nagar,Mundi Road,Khandwa (M.P.), Madhya Pradesh, 450001"
955,"Govt. Medical College, Khandwa,Luv-Kush Nagar,Mundi Road,Khandwa (M.P.), Madhya Pradesh, 450001"
956,"Govt. Medical College, Kumura m Bheem Asifabad
,Govern ment Medical College Ankusha pur District Kumura m Bheem Asifabad Telangan a, Telangan a, 504293"
957,"Govt. Medical College, Kumuram Bheem Asifabad  , Government Medical College Ankushapur District Kumuram Bheem Asifabad Telangana, Telangana, 504293"
958,"Govt. Medical College, Kumuram Bheem Asifabad ,Government Medical College Ankushapur District Kumuram Bheem Asifabad Telangana, Telangana, 504293"
959,"Govt. Medical College, Sirohi (rajastha n),SIRO HI SHIVGA NJ HIGHWA Y,NEAR AMBESH WAR
,VILLAG E- KOLAR, TEHSIL- SIVGAN J,DIST- SIROHI,
Rajastha n, 307030"
960,"Govt. Medical College, Sirohi (rajasthan) , SIROHI SHIVGANJ HIGHWAY,NEAR AMBESHWAR
,VILLAGE- KOLAR, TEHSIL- SIVGANJ,DIST-
SIROHI, Rajasthan, 307030"
961,"Govt. Medical College, Sirohi (rajasthan),SIROHI SHIVGANJ HIGHWAY,NEAR AMBESHWAR ,VILLAGE- KOLAR, TEHSIL- SIVGANJ,DIST- SIROHI, Rajasthan, 307030"
962,"Govt. Medical College, Srinagar , Administrative Block Government Medical College Karan Nagar Srinagar, Jammu And Kashmir, 190010"
963,"Govt. Medical College, Srinagar , Administrative Department Government Medical College Karan Nagar Srinagar, Jammu And Kashmir, 190010"
964,"Govt. Medical College, Srinagar, Administr ative Block Governm ent Medical College Karan Nagar Srinagar, Jammu And Kashmir, 190010"
965,"Govt. Medical College, Srinagar,Administrative Block Government Medical College Karan Nagar Srinagar, Jammu And Kashmir, 190010"
966,"Govt. Medical College, Srinagar,Administrative Department Government Medical College Karan Nagar Srinagar, Jammu And Kashmir, 190010"
967,"Govt. Medical College, Udhamp ur,Dhar Road near Sallain Tallab opp Head Post Office Udhamp ur, Jammu And Kashmir, 182101"
968,"Govt. Medical College, Udhampur , Dhar Road near Sallain Tallab opp Head Post Office Udhampur, Jammu And Kashmir, 182101"
969,"Govt. Medical College, Udhampur,Dhar Road near Sallain Tallab opp Head Post Office Udhampur, Jammu And Kashmir, 182101"
970,"Govt. Pudukkot tai Medical College Hopt., Pudukkot t,MULLU R PUDUKK OTTAI PO PUDUKK OTTAI,
Tamil Nadu, 622004"
971,"Govt. Pudukkottai Medical College Hopt., Pudukkott , MULLUR PUDUKKOTTAI PO PUDUKKOTTAI,
Tamil Nadu, 622004"
972,"Govt. Pudukkottai Medical College Hopt., Pudukkott,MULLUR PUDUKKOTTAI PO PUDUKKOTTAI, Tamil Nadu, 622004"
973,"Govt. Sivganga i M. C.
Sivagang ai,MANA MADUR AI MAIN ROAD, KEELA VANIYA NKUDI, SIVAGA NGAI,
Tamil Nadu, 630561"
974,"Govt. Sivgangai M. C. Sivagangai , MANAMADURAI MAIN ROAD, KEELA VANIYANKUDI, SIVAGANGAI, Tamil Nadu, 630561"
975,"Govt. Sivgangai M. C. Sivagangai,MANAMADURAI MAIN ROAD, KEELA VANIYANKUDI, SIVAGANGAI, Tamil Nadu, 630561"
976,"Gulbarga Institute of Medical Sciences
,
Gulbarga
,Gulbarg a Institute of Medical Sciences
,
Veeresh Nagar, Sedam Road, Kalabura gi, Karnatak a, 585105"
977,"Gulbarga Institute of Medical Sciences, Gulbarga , Gulbarga Institute of Medical Sciences,
Veeresh Nagar, Sedam Road, Kalaburagi, Karnataka, 585105"
978,"Gulbarga Institute of Medical Sciences, Gulbarga,Gulbarga Institute of Medical Sciences,
Veeresh Nagar, Sedam Road, Kalaburagi, Karnataka, 585105"
979,"Gulbarga Institute of Medical Sciences, Gulbarga,Gulbarga Institute of Medical Sciences, Veeresh Nagar, Sedam Road, Kalaburagi, Karnataka, 585105"
980,"HASSAN INST. MEDICA L SCIENC ES, HASSAN
,K R PURAM, BEHIND DC OFFICE, HASSAN
,
Karnatak a, 573201"
981,"HASSAN INST. MEDICAL SCIENCES, HASSAN
, K R PURAM, BEHIND DC OFFICE,HASSAN,
Karnataka, 573201"
982,"HASSAN INST. MEDICAL SCIENCES, HASSAN,K R PURAM, BEHIND DC OFFICE,HASSAN, Karnataka, 573201"
983,"Hamdard Inst of Med Sciences and Researc h, New Delhi,HI MSR,
Jamia Hamdard
, Guru Ravidas Marg, Hamdard Nagar, New Delhi, Delhi (NCT), 110062"
984,"Hamdard Inst of Med Sciences and Research, New Delhi
, HIMSR, Jamia Hamdard, Guru Ravidas Marg, Hamdard Nagar, New Delhi, Delhi (NCT), 110062"
985,"Hamdard Inst of Med Sciences and Research, New Delhi
, Hamdard Nagar, Jamia Hamdard, New Delhi, Delhi (NCT), 110062"
986,"Hamdard Inst of Med Sciences and Research, New Delhi,HIMSR, Jamia Hamdard, Guru Ravidas Marg, Hamdard Nagar, New Delhi, Delhi (NCT), 110062"
987,"Hamdard Inst of Med Sciences and Research, New Delhi,Hamdard Nagar, Jamia Hamdard, New Delhi, Delhi (NCT), 110062"
988,"Haveri Institute of Medical Sciences
,
Karnatak a,First Floor MCH
Block District Hospital, Karnatak a, 581110"
989,"Haveri Institute of Medical Sciences, Karnataka , First Floor MCH Block District Hospital, Karnataka, 581110"
990,"Haveri Institute of Medical Sciences, Karnataka,First Floor MCH Block District Hospital, Karnataka, 581110"
991,"Hinduhri dayasam rat Balasahe b Thackera y Medical College and Dr.
R. N. Cooper Municipal General Hospital, Maharas htra,JUH
U, VILEPAR LE WEST MUMBAI
,
Maharas htra, 400056"
992,"Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital, Maharashtra
, JUHU, VILEPARLE WEST MUMBAI,
Maharashtra, 400056"
993,"Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital, Maharashtra,JUHU, VILEPARLE WEST MUMBAI, Maharashtra, 400056"
994,"IMS BHU
Dental, Varanasi, Institute of Medical Sciences
,
Banaras Hindu Universit y, Uttar Pradesh, 221105"
995,"IMS BHU Dental, Varanasi , Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105"
996,"IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105"
997,"INDIRA GANDHI GOVT.M EDICAL COLL., NAGPU R,MEYO HOSPIT AL CENTRA L AVENUE ROAD NEAR RAM ZULA NAGPU R,
Maharas htra, 440018"
998,"INDIRA GANDHI GOVT.MEDICAL COLL., NAGPUR , MEYO HOSPITAL CENTRAL AVENUE ROAD NEAR RAM ZULA NAGPUR,
Maharashtra, 440018"
999,"INDIRA GANDHI GOVT.MEDICAL COLL., NAGPUR,MEYO HOSPITAL CENTRAL AVENUE ROAD NEAR RAM ZULA NAGPUR, Maharashtra, 440018"
1000,"INDIRA GANDHI MEDICA L COLL., SHIMLA, IGMC SHIMLA NEAR LAKKAR BAZAR SHIMLA,
Himachal Pradesh, 171001"
1001,"INDIRA GANDHI MEDICAL COLL., SHIMLA , IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001"
1002,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001"
1003,"INST OF PG MED EDU & RESEAR CH,KOL KATA,24 4 AJC
Bose Road, Kolkata, West Bengal, 700020"
1004,"INST OF PG MED EDU & RESEARCH,KOLKAT A , 244 AJC Bose
Road, Kolkata, West Bengal, 700020"
1005,"INST OF PG MED EDU & RESEARCH,KOLKATA,244 AJC Bose Road, Kolkata, West
Bengal, 700020"
1006,"INST.OF MED.SCI ENCES, BHU,VA RANASI,
Institute of Medical Sciences
,
Banaras Hindu Universit y, Uttar Pradesh, 211005"
1007,"INST.OF MED.SCIENCES, BHU,VARANASI ,
Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005"
1008,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 211005"
1009,"IRT
Perundur ai Medical College, Perundur ai,GOVE RNMEN T ERODE MEDICA L COLLEG E PERUND URAI, PERUND URAI SANATO RIUM POST ERODE DISTRIC
T, Tamil Nadu, 638053"
1010,"IRT Perundurai Medical College, Perundurai , GOVERNMENT ERODE MEDICAL COLLEGE PERUNDURAI, PERUNDURAI SANATORIUM POST ERODE DISTRICT,
Tamil Nadu, 638053"
1011,"IRT Perundurai Medical College, Perundurai,GOVERNMENT ERODE MEDICAL COLLEGE PERUNDURAI,
PERUNDURAI SANATORIUM POST ERODE DISTRICT, Tamil Nadu, 638053"
1012,"Indira Gandhi Dental College and SBV, Pondych erry,SBV Pondiche rry Campus, Pillaiyark uppam,, Puduche rry, 607402"
1013,"Indira Gandhi Dental College and SBV, Pondycherry , SBV Campus, Pillaiyarkuppam, Pondicherry, Puducherry, 607402"
1014,"Indira Gandhi Dental College and SBV, Pondycherry , SBV Pondicherry Campus, Pillaiyarkuppam,, Puducherry, 607402"
1015,"Indira Gandhi Dental College and SBV, Pondycherry,SBV Campus, Pillaiyarkuppam, Pondicherry, Puducherry, 607402"
1016,"Indira Gandhi Dental College and SBV, Pondycherry,SBV Pondicherry Campus, Pillaiyarkuppam,, Puducherry, 607402"
1017,"Indira Gandhi Govt. Dental College, Jammu , Indira Gandhi Govt. Dental College, Rehari Chungi, Jammu, Jammu And Kashmir, 180005"
1018,"Indira Gandhi Govt. Dental College, Jammu,I ndira Gandhi Govt.
Dental College, Rehari Chungi, Jammu, Jammu And Kashmir, 180005"
1019,"Indira Gandhi Govt. Dental College, Jammu,Indira Gandhi Govt. Dental College, Rehari Chungi, Jammu, Jammu And Kashmir, 180005"
1020,"Indira Gandhi Institute of Medical Sciences
,
Patna,R AZA BAZAR, SHEIKH PURA, PATNA"
1021,"Indira Gandhi Institute of Medical Sciences, Patna , RAZA BAZAR, SHEIKHPURA, PATNA"
1022,"Indira Gandhi Institute of Medical Sciences, Patna,RAZA BAZAR, SHEIKHPURA, PATNA"
1023,"Indira Gandhi Medical College & RI,
Puduche rry,Vazh udavour Road, Kadirkam am, Puduche rry, 605009"
1024,"Indira Gandhi Medical College & RI, Puducherry , Vazhudavour Road, Kadirkamam, Puducherry, 605009"
1025,"Indira Gandhi Medical College & RI, Puducherry,Vazhudavour Road, Kadirkamam, Puducherry, 605009"
1026,"Institute of Dental Sciences
,
Bhubane swar,K8, Kalinga Nagar, PO-
Mahalax mi Vihar, Bhubane swar, Odisha, 751003"
1027,"Institute of Dental Sciences, Bhubaneswar , K8, Kalinga Nagar, PO- Mahalaxmi Vihar, Bhubaneswar, Odisha, 751003"
1028,"Institute of Dental Sciences, Bhubaneswar,K8, Kalinga Nagar, PO-Mahalaxmi Vihar, Bhubaneswar, Odisha, 751003"
1029,"Institute of Medical Sciences and SUM Host., Bhubane swar,K 8 Kalinga Nagar Po Mahalax mi Vihar Bhubane swar, Odisha, 751029"
1030,"Institute of Medical Sciences and SUM Host., Bhubaneswar , K 8 Kalinga Nagar Po Mahalaxmi Vihar Bhubaneswar, Odisha, 751029"
1031,"Institute of Medical Sciences and SUM Host., Bhubaneswar,K 8 Kalinga Nagar Po Mahalaxmi Vihar Bhubaneswar, Odisha, 751029"
1032,"JAWAHA R LAL NEHRU MEDICA L, AJMER, NEAR PATEL STADIU M AJMER,
Rajastha n, 305001"
1033,"JAWAHAR LAL NEHRU MEDICAL, AJMER , NEAR PATEL STADIUM
AJMER, Rajasthan, 305001"
1034,"JAWAHAR LAL NEHRU MEDICAL, AJMER,NEAR PATEL STADIUM AJMER,
Rajasthan, 305001"
1035,"JHALAW AR MEDICA L COLLEG E,
Jhalawar
,NH-52, KOTA ROAD,J HALAWA R,RAJAS THAN,
Rajastha n, 326001"
1036,"JHALAWAR MEDICAL COLLEGE,
Jhalawar  , NH-52, KOTA ROAD,JHALAWAR,R AJASTHAN,
Rajasthan, 326001"
1037,"JHALAWAR MEDICAL COLLEGE, Jhalawar ,NH-52, KOTA ROAD,JHALAWAR,RAJASTHAN"
1038,"JHALAWAR MEDICAL COLLEGE, Jhalawar ,NH-52, KOTA ROAD,JHALAWAR,RAJASTHAN, Rajasthan, 326001"
1039,"JIPMER KARAIK
AL,Dhan vantari Nagar Gorimed u Puduche rry 605006,
Puduche rry, 605006"
1040,"JIPMER KARAIKAL ,
Dhanvantari Nagar Gorimedu Puducherry 605006, Puducherry,
605006"
1041,"JIPMER KARAIKAL,Dhanvantari Nagar Gorimedu Puducherry 605006, Puducherry, 605006"
1042,"JIPMER PUDUC HERRY,
Dhanvan tari Nagar Gorimed u Puduche rry, Puduche rry, 605006"
1043,"JIPMER PUDUCHERRY ,
Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006"
1044,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006"
1045,"JLN
Medical College, Datta Meghe, Wardha, Sawangi (Meghe), Wardha, Maharas htra State,Indi a, Maharas htra, 442107"
1046,"JLN IMS, IMPHAL ,
Prompat, Imphal East, Manipur, Manipur, 795005"
1047,"JLN IMS, IMPHAL,
Prompat, Imphal East, Manipur, Manipur, 795005"
1048,"JLN IMS, IMPHAL,Prompat, Imphal East, Manipur, Manipur, 795005"
1049,"JLN Medical College, Datta Meghe, Wardha
, Sawangi (Meghe), Wardha, Maharashtra State,India, Maharashtra, 442107"
1050,"JLN Medical College, Datta Meghe, Wardha,Sawangi (Meghe), Wardha, Maharashtra State,India, Maharashtra, 442107"
1051,"JSS
Dental College, Mysuru,T he Principal JSS
Dental College and Hospital Medical Institutio ns Campus Bannima ntap S S Nagar Mysu, Karnatak a, 570015"
1052,"JSS
Medical College, Mysuru,T he Principal JSS
Medical College and Hospital Medical Institutio ns Campus S S
Nagar Mysuru, Karnatak a, 570015"
1053,"JSS Dental College, Mysuru , The Principal JSS Dental College and Hospital Medical Institutions Campus Bannimantap S S Nagar Mysu, Karnataka, 570015"
1054,"JSS Dental College, Mysuru,The Principal JSS Dental College and Hospital Medical Institutions Campus Bannimantap S S Nagar Mysu, Karnataka, 570015"
1055,"JSS Medical College, Mysuru , The Principal JSS Medical College and Hospital Medical Institutions Campus S S Nagar Mysuru, Karnataka, 570015"
1056,"JSS Medical College, Mysuru,The Principal JSS Medical College and Hospital Medical Institutions Campus S S Nagar Mysuru, Karnataka, 570015"
1057,"Jagadgur u Gangadh ar Mahasw amigalu Moorusa virmath Medical College, Hubballi, KLE
Jagadgur u Gangadh ar Mahasw amigalu Moorusa virmath Medical College Gabbur Cross Hubballi, Karnatak a, 580028"
1058,"Jagadguru Gangadhar Mahaswamigalu Moor usavirmath Medical College, Hubballi , KLE Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College Gabbur Cross Hubballi, Karnataka, 580028"
1059,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College, Hubballi,KLE Jagadguru Gangadhar
Mahaswamigalu Moorusavirmath Medical College  Gabbur Cross Hubballi, Karnataka, 580028"
1060,"Jannaya k Karpoori Thakur Medical college and Hospital, Madhepu ra,JAJHA T SABAILA SINGHE SHWAR ROAD DISTRIC T MADHE PURA,
Bihar, 852128"
1061,"Jannayak Karpoori Thakur Medical college and Hospital, Madhepura , JAJHAT SABAILA SINGHESHWAR ROAD DISTRICT MADHEPURA, Bihar, 852128"
1062,"Jannayak Karpoori Thakur Medical college and Hospital, Madhepura , JAJHAT SABAILA SINGHESHWAR ROAD, Bihar, 852128"
1063,"Jannayak Karpoori Thakur Medical college and Hospital, Madhepura,JAJHAT SABAILA SINGHESHWAR ROAD DISTRICT MADHEPURA, Bihar, 852128"
1064,"Jannayak Karpoori Thakur Medical college and Hospital, Madhepura,JAJHAT SABAILA SINGHESHWAR ROAD, Bihar, 852128"
1065,"Jawahar Lal Nehru Medical College, Belagavi , J.N. Medical College Campus, Nehru Nagar,
Belagavi-590010. Karnataka, India., Karnataka, 590010"
1066,"Jawahar Lal Nehru Medical College, Belagavi, J.N.
Medical College Campus, Nehru Nagar, Belagavi- 590010.
Karnatak a, India., Karnatak a, 590010"
1067,"Jawahar Lal Nehru Medical College, Belagavi,J.N. Medical College Campus, Nehru Nagar,
Belagavi-590010. Karnataka, India., Karnataka, 590010"
1068,"Jawaharl al Nehru Institute of Dental Sciences
,
Imphal,P orompat, Imphal East, Manipur, Manipur, 795005"
1069,"Jawaharl al Nehru Medical College, AMU,ALI GARH,A LIGARH MUSLIM UNIVER SITY, ALIGAR
H, Uttar Pradesh, 202002"
1070,"Jawaharl al Nehru Medical College, Bhagalpu r,SUKHR AJ RAI PATH, BHAGAL PUR,
Bihar, 812001"
1071,"Jawaharlal Nehru Institute of Dental Sciences, Imphal , Porompat, Imphal East, Manipur, Manipur, 795005"
1072,"Jawaharlal Nehru Institute of Dental Sciences, Imphal,Porompat, Imphal East, Manipur, Manipur, 795005"
1073,"Jawaharlal Nehru Medical College, AMU,ALIGARH , ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002"
1074,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002"
1075,"Jawaharlal Nehru Medical College, Bhagalpur , SUKHRAJ RAI PATH, BHAGALPUR, Bihar, 812001"
1076,"Jawaharlal Nehru Medical College, Bhagalpur,SUKHRAJ RAI PATH, BHAGALPUR, Bihar, 812001"
1077,"Jhargram Governm ent Medical College and Hospital, West Bengal,J hargram Governm ent Medical College and Hospital, Vidyasag arpally, Jhargram
, West Bengal., West Bengal, 721507"
1078,"Jhargram Government Medical College and Hospital, West Bengal , 315, Main Road, Jhargram, West Bengal Pincode : 721507"
1079,"Jhargram Government Medical College and Hospital, West Bengal , Jhargram Government Medical College and Hospital, Vidyasagarpally, Jhargram, West Bengal., West Bengal, 721507"
1080,"Jhargram Government Medical College and Hospital, West Bengal,315, Main Road, Jhargram, West Bengal Pincode : 721507"
1081,"Jhargram Government Medical College and Hospital, West Bengal,Jhargram Government Medical College and Hospital, Vidyasagarpally, Jhargram, West Bengal., West Bengal, 721507"
1082,"Jorhat Medical College and Hospital, JORHAT
,Kushal Konwar Path, Barbheta
, Jorhat, Assam, 785001,
Assam, 785001"
1083,"Jorhat Medical College and Hospital, JORHAT , Kushal Konwar Path, Barbheta, Jorhat, Assam, 785001,
Assam, 785001"
1084,"Jorhat Medical College and Hospital, JORHAT,Kushal Konwar Path, Barbheta, Jorhat, Assam, 785001, Assam, 785001"
1085,"K M
Shah Dental Collegel, SumanD eep Vidyapee th Vadodar a,Suman deep Vidyapee th Piparia Waghodi a Vadodar a Gujarat, Gujarat, 391760"
1086,"K M Shah Dental Collegel, SumanDeep Vidyapeeth Vadodara
, Sumandeep Vidyapeeth Piparia Waghodia Vadodara Gujarat"
1087,"K M Shah Dental Collegel, SumanDeep Vidyapeeth Vadodara
, Sumandeep Vidyapeeth Piparia Waghodia Vadodara Gujarat, Gujarat, 391760"
1088,"K M Shah Dental Collegel, SumanDeep Vidyapeeth Vadodara,Sumandeep Vidyapeeth Piparia Waghodia Vadodara Gujarat"
1089,"K M Shah Dental Collegel, SumanDeep Vidyapeeth Vadodara,Sumandeep Vidyapeeth Piparia Waghodia Vadodara Gujarat, Gujarat, 391760"
1090,"K.A.P. VISWAN ATHAM G.M.C.,T IRUCHIR APALLI, PERIYA MILAGU PARAI, TIRUCHI RAPALLI
-620001,
Tamil Nadu, 620001"
1091,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAP ALLI , PERIYAMILAGUPAR AI, TIRUCHIRAPALLI-
620001, Tamil Nadu,
620001"
1092,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAPALLI,PERIYAMILAGUPARAI, TIRUCHIRAPALLI-620001, Tamil Nadu, 620001"
1093,"K.S
Hegde Medical Academy
,
Mangalur u,Derala katte, Mangalur u, Dakshina Kannada Dist,, Karnatak a, 575018"
1094,"K.S Hegde Medical Academy, Mangaluru
, Deralakatte, Mangaluru, Dakshina Kannada Dist,, Karnataka, 575018"
